configuration_10,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_10_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03566908836365,True,False
T1500x300_10_2_configuration_10_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.08194708824158,True,False
T1500x300_10_3_configuration_10_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.0301411151886,True,False
T1500x300_10_4_configuration_10_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.09270691871643,True,False
T1500x300_10_5_configuration_10_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.03059101104736,True,False
,,,,,,,
configuration_11,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_11_out,51169.81793535115,49905.582733518146,0.024706658198984575,1.0,180.06206798553467,True,False
T1500x300_10_2_configuration_11_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.09232902526855,True,False
T1500x300_10_3_configuration_11_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.0342080593109,True,False
T1500x300_10_4_configuration_11_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.08656001091003,True,False
T1500x300_10_5_configuration_11_out,51099.70550700122,50357.68908710711,0.014520952959161074,1.0,180.03123688697815,True,False
,,,,,,,
configuration_12,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_12_out,51169.81793535115,49905.58729925323,0.024706568971872386,1.0,180.03790283203125,True,False
T1500x300_10_2_configuration_12_out,51719.97917903504,51225.56583640774,0.009559426559625113,5.0,180.08143591880798,True,False
T1500x300_10_3_configuration_12_out,51261.27371755362,50364.98850553662,0.017484645757253375,1.0,180.03400683403015,True,False
T1500x300_10_4_configuration_12_out,51281.64547611487,50254.709536561706,0.02002540928667094,2.0,180.09076189994812,True,False
T1500x300_10_5_configuration_12_out,51099.70550700122,50357.12769717832,0.014531939126756668,1.0,180.02877283096313,True,False
,,,,,,,
configuration_13,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_13_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.0310080051422,True,False
T1500x300_10_2_configuration_13_out,51722.860329035044,51223.488822412386,0.00965475427008328,7.0,180.10298109054565,True,False
T1500x300_10_3_configuration_13_out,51260.66773893293,50364.48231168661,0.017482905837484533,1.0,180.03816604614258,True,False
T1500x300_10_4_configuration_13_out,51245.32967338744,50255.07660763295,0.019323771982068975,2.0,180.0865249633789,True,False
T1500x300_10_5_configuration_13_out,51099.70550700122,50357.24838776371,0.014529577262158956,1.0,180.02755093574524,True,False
,,,,,,,
configuration_14,objective,dual_bound,gap,node_count,time,feasible,is_optimal
T1500x300_10_1_configuration_14_out,51145.47845522776,49905.70408227035,0.02424015593172481,1.0,180.05448698997498,True,False
T1500x300_10_2_configuration_14_out,51722.860329035044,51223.488822412386,0.00965475427008328,7.0,180.1030809879303,True,False
